,movie_rankings,movie_titles,movie_links,movie_ratings,movie_years
0,1,The Shawshank Redemption,https://www.imdb.com//title/tt0111161/,9.2,1994
1,2,The Godfather,https://www.imdb.com//title/tt0068646/,9.1,1972
2,3,The Godfather: Part II,https://www.imdb.com//title/tt0071562/,9.0,1974
3,4,The Dark Knight,https://www.imdb.com//title/tt0468569/,9.0,2008
4,5,12 Angry Men,https://www.imdb.com//title/tt0050083/,8.9,1957
5,6,Schindler's List,https://www.imdb.com//title/tt0108052/,8.9,1993
6,7,The Lord of the Rings: The Return of the King,https://www.imdb.com//title/tt0167260/,8.9,2003
7,8,Pulp Fiction,https://www.imdb.com//title/tt0110912/,8.8,1994
8,9,"The Good, the Bad and the Ugly",https://www.imdb.com//title/tt0060196/,8.8,1966
9,10,The Lord of the Rings: The Fellowship of the Ring,https://www.imdb.com//title/tt0120737/,8.8,2001
10,11,Fight Club,https://www.imdb.com//title/tt0137523/,8.7,1999
11,12,Forrest Gump,https://www.imdb.com//title/tt0109830/,8.7,1994
12,13,Inception,https://www.imdb.com//title/tt1375666/,8.7,2010
13,14,The Lord of the Rings: The Two Towers,https://www.imdb.com//title/tt0167261/,8.7,2002
14,15,Star Wars: Episode V - The Empire Strikes Back,https://www.imdb.com//title/tt0080684/,8.7,1980
15,16,The Matrix,https://www.imdb.com//title/tt0133093/,8.7,1999
16,17,Goodfellas,https://www.imdb.com//title/tt0099685/,8.6,1990
17,18,One Flew Over the Cuckoo's Nest,https://www.imdb.com//title/tt0073486/,8.6,1975
18,19,Seven Samurai,https://www.imdb.com//title/tt0047478/,8.6,1954
19,20,Se7en,https://www.imdb.com//title/tt0114369/,8.6,1995
20,21,The Silence of the Lambs,https://www.imdb.com//title/tt0102926/,8.6,1991
21,22,City of God,https://www.imdb.com//title/tt0317248/,8.6,2002
22,23,Life Is Beautiful,https://www.imdb.com//title/tt0118799/,8.6,1997
23,24,It's a Wonderful Life,https://www.imdb.com//title/tt0038650/,8.6,1946
24,25,Spider-Man: No Way Home,https://www.imdb.com//title/tt10872600/,8.6,2021
25,26,Saving Private Ryan,https://www.imdb.com//title/tt0120815/,8.6,1998
26,27,Star Wars: Episode IV - A New Hope,https://www.imdb.com//title/tt0076759/,8.5,1977
27,28,Interstellar,https://www.imdb.com//title/tt0816692/,8.5,2014
28,29,Spirited Away,https://www.imdb.com//title/tt0245429/,8.5,2001
29,30,The Green Mile,https://www.imdb.com//title/tt0120689/,8.5,1999
30,31,Parasite,https://www.imdb.com//title/tt6751668/,8.5,2019
31,32,Léon: The Professional,https://www.imdb.com//title/tt0110413/,8.5,1994
32,33,Hara-Kiri,https://www.imdb.com//title/tt0056058/,8.5,1962
33,34,The Pianist,https://www.imdb.com//title/tt0253474/,8.5,2002
34,35,Terminator 2: Judgment Day,https://www.imdb.com//title/tt0103064/,8.5,1991
35,36,Back to the Future,https://www.imdb.com//title/tt0088763/,8.5,1985
36,37,The Usual Suspects,https://www.imdb.com//title/tt0114814/,8.5,1995
37,38,Psycho,https://www.imdb.com//title/tt0054215/,8.5,1960
38,39,The Lion King,https://www.imdb.com//title/tt0110357/,8.5,1994
39,40,Modern Times,https://www.imdb.com//title/tt0027977/,8.5,1936
40,41,Grave of the Fireflies,https://www.imdb.com//title/tt0095327/,8.5,1988
41,42,American History X,https://www.imdb.com//title/tt0120586/,8.5,1998
42,43,Whiplash,https://www.imdb.com//title/tt2582802/,8.5,2014
43,44,Gladiator,https://www.imdb.com//title/tt0172495/,8.5,2000
44,45,City Lights,https://www.imdb.com//title/tt0021749/,8.5,1931
45,46,The Departed,https://www.imdb.com//title/tt0407887/,8.5,2006
46,47,The Intouchables,https://www.imdb.com//title/tt1675434/,8.5,2011
47,48,The Prestige,https://www.imdb.com//title/tt0482571/,8.5,2006
48,49,Casablanca,https://www.imdb.com//title/tt0034583/,8.4,1942
49,50,Once Upon a Time in the West,https://www.imdb.com//title/tt0064116/,8.4,1968
50,51,Rear Window,https://www.imdb.com//title/tt0047396/,8.4,1954
51,52,Cinema Paradiso,https://www.imdb.com//title/tt0095765/,8.4,1988
52,53,Alien,https://www.imdb.com//title/tt0078748/,8.4,1979
53,54,Apocalypse Now,https://www.imdb.com//title/tt0078788/,8.4,1979
54,55,Memento,https://www.imdb.com//title/tt0209144/,8.4,2000
55,56,Indiana Jones and the Raiders of the Lost Ark,https://www.imdb.com//title/tt0082971/,8.4,1981
56,57,The Great Dictator,https://www.imdb.com//title/tt0032553/,8.4,1940
57,58,Django Unchained,https://www.imdb.com//title/tt1853728/,8.4,2012
58,59,The Lives of Others,https://www.imdb.com//title/tt0405094/,8.4,2006
59,60,Paths of Glory,https://www.imdb.com//title/tt0050825/,8.4,1957
60,61,Sunset Blvd.,https://www.imdb.com//title/tt0043014/,8.4,1950
61,62,WALL·E,https://www.imdb.com//title/tt0910970/,8.4,2008
62,63,Avengers: Infinity War,https://www.imdb.com//title/tt4154756/,8.4,2018
63,64,Witness for the Prosecution,https://www.imdb.com//title/tt0051201/,8.4,1957
64,65,Spider-Man: Into the Spider-Verse,https://www.imdb.com//title/tt4633694/,8.4,2018
65,66,The Shining,https://www.imdb.com//title/tt0081505/,8.4,1980
66,67,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,https://www.imdb.com//title/tt0057012/,8.4,1964
67,68,Princess Mononoke,https://www.imdb.com//title/tt0119698/,8.3,1997
68,69,Oldboy,https://www.imdb.com//title/tt0364569/,8.3,2003
69,70,Joker,https://www.imdb.com//title/tt7286456/,8.3,2019
70,71,Your Name.,https://www.imdb.com//title/tt5311514/,8.3,2016
71,72,Coco,https://www.imdb.com//title/tt2380307/,8.3,2017
72,73,The Dark Knight Rises,https://www.imdb.com//title/tt1345836/,8.3,2012
73,74,Aliens,https://www.imdb.com//title/tt0090605/,8.3,1986
74,75,Once Upon a Time in America,https://www.imdb.com//title/tt0087843/,8.3,1984
75,76,Avengers: Endgame,https://www.imdb.com//title/tt4154796/,8.3,2019
76,77,Capernaum,https://www.imdb.com//title/tt8267604/,8.3,2018
77,78,Das Boot,https://www.imdb.com//title/tt0082096/,8.3,1981
78,79,High and Low,https://www.imdb.com//title/tt0057565/,8.3,1963
79,80,3 Idiots,https://www.imdb.com//title/tt1187043/,8.3,2009
80,81,Toy Story,https://www.imdb.com//title/tt0114709/,8.3,1995
81,82,Amadeus,https://www.imdb.com//title/tt0086879/,8.3,1984
82,83,American Beauty,https://www.imdb.com//title/tt0169547/,8.3,1999
83,84,Braveheart,https://www.imdb.com//title/tt0112573/,8.3,1995
84,85,Inglourious Basterds,https://www.imdb.com//title/tt0361748/,8.3,2009
85,86,Good Will Hunting,https://www.imdb.com//title/tt0119217/,8.3,1997
86,87,Hamilton,https://www.imdb.com//title/tt8503618/,8.3,2020
87,88,Come and See,https://www.imdb.com//title/tt0091251/,8.3,1985
88,89,Star Wars: Episode VI - Return of the Jedi,https://www.imdb.com//title/tt0086190/,8.3,1983
89,90,2001: A Space Odyssey,https://www.imdb.com//title/tt0062622/,8.3,1968
90,91,Reservoir Dogs,https://www.imdb.com//title/tt0105236/,8.3,1992
91,92,Like Stars on Earth,https://www.imdb.com//title/tt0986264/,8.3,2007
92,93,Vertigo,https://www.imdb.com//title/tt0052357/,8.3,1958
93,94,M,https://www.imdb.com//title/tt0022100/,8.3,1931
94,95,The Hunt,https://www.imdb.com//title/tt2106476/,8.3,2012
95,96,Citizen Kane,https://www.imdb.com//title/tt0033467/,8.3,1941
96,97,Requiem for a Dream,https://www.imdb.com//title/tt0180093/,8.3,2000
97,98,Singin' in the Rain,https://www.imdb.com//title/tt0045152/,8.3,1952
98,99,North by Northwest,https://www.imdb.com//title/tt0053125/,8.3,1959
99,100,Ikiru,https://www.imdb.com//title/tt0044741/,8.3,1952
100,101,Eternal Sunshine of the Spotless Mind,https://www.imdb.com//title/tt0338013/,8.3,2004
101,102,Bicycle Thieves,https://www.imdb.com//title/tt0040522/,8.3,1948
102,103,Lawrence of Arabia,https://www.imdb.com//title/tt0056172/,8.3,1962
103,104,The Kid,https://www.imdb.com//title/tt0012349/,8.2,1921
104,105,Full Metal Jacket,https://www.imdb.com//title/tt0093058/,8.2,1987
105,106,Incendies,https://www.imdb.com//title/tt1255953/,8.2,2010
106,107,Dangal,https://www.imdb.com//title/tt5074352/,8.2,2016
107,108,The Apartment,https://www.imdb.com//title/tt0053604/,8.2,1960
108,109,Double Indemnity,https://www.imdb.com//title/tt0036775/,8.2,1944
109,110,Metropolis,https://www.imdb.com//title/tt0017136/,8.2,1927
110,111,A Clockwork Orange,https://www.imdb.com//title/tt0066921/,8.2,1971
111,112,Taxi Driver,https://www.imdb.com//title/tt0075314/,8.2,1976
112,113,The Father,https://www.imdb.com//title/tt10272386/,8.2,2020
113,114,The Sting,https://www.imdb.com//title/tt0070735/,8.2,1973
114,115,A Separation,https://www.imdb.com//title/tt1832382/,8.2,2011
115,116,Scarface,https://www.imdb.com//title/tt0086250/,8.2,1983
116,117,Snatch,https://www.imdb.com//title/tt0208092/,8.2,2000
117,118,1917,https://www.imdb.com//title/tt8579674/,8.2,2019
118,119,Amélie,https://www.imdb.com//title/tt0211915/,8.2,2001
119,120,To Kill a Mockingbird,https://www.imdb.com//title/tt0056592/,8.2,1962
120,121,Toy Story 3,https://www.imdb.com//title/tt0435761/,8.2,2010
121,122,For a Few Dollars More,https://www.imdb.com//title/tt0059578/,8.2,1965
122,123,Up,https://www.imdb.com//title/tt1049413/,8.2,2009
123,124,Pather Panchali,https://www.imdb.com//title/tt0048473/,8.2,1955
124,125,Indiana Jones and the Last Crusade,https://www.imdb.com//title/tt0097576/,8.2,1989
125,126,Heat,https://www.imdb.com//title/tt0113277/,8.2,1995
126,127,L.A. Confidential,https://www.imdb.com//title/tt0119488/,8.2,1997
127,128,Ran,https://www.imdb.com//title/tt0089881/,8.2,1985
128,129,Die Hard,https://www.imdb.com//title/tt0095016/,8.2,1988
129,130,Yojimbo,https://www.imdb.com//title/tt0055630/,8.2,1961
130,131,Green Book,https://www.imdb.com//title/tt6966692/,8.2,2018
131,132,Rashomon,https://www.imdb.com//title/tt0042876/,8.2,1950
132,133,Downfall,https://www.imdb.com//title/tt0363163/,8.2,2004
133,134,All About Eve,https://www.imdb.com//title/tt0042192/,8.2,1950
134,135,Monty Python and the Holy Grail,https://www.imdb.com//title/tt0071853/,8.2,1975
135,136,Some Like It Hot,https://www.imdb.com//title/tt0053291/,8.2,1959
136,137,Batman Begins,https://www.imdb.com//title/tt0372784/,8.2,2005
137,138,Jai Bhim,https://www.imdb.com//title/tt15097216/,8.2,2021
138,139,Unforgiven,https://www.imdb.com//title/tt0105695/,8.2,1992
139,140,Children of Heaven,https://www.imdb.com//title/tt0118849/,8.2,1997
140,141,Howl's Moving Castle,https://www.imdb.com//title/tt0347149/,8.2,2004
141,142,The Wolf of Wall Street,https://www.imdb.com//title/tt0993846/,8.2,2013
142,143,Judgment at Nuremberg,https://www.imdb.com//title/tt0055031/,8.2,1961
143,144,There Will Be Blood,https://www.imdb.com//title/tt0469494/,8.2,2007
144,145,Casino,https://www.imdb.com//title/tt0112641/,8.2,1995
145,146,The Great Escape,https://www.imdb.com//title/tt0057115/,8.2,1963
146,147,The Treasure of the Sierra Madre,https://www.imdb.com//title/tt0040897/,8.2,1948
147,148,Pan's Labyrinth,https://www.imdb.com//title/tt0457430/,8.1,2006
148,149,A Beautiful Mind,https://www.imdb.com//title/tt0268978/,8.1,2001
149,150,The Secret in Their Eyes,https://www.imdb.com//title/tt1305806/,8.1,2009
150,151,Raging Bull,https://www.imdb.com//title/tt0081398/,8.1,1980
151,152,Chinatown,https://www.imdb.com//title/tt0071315/,8.1,1974
152,153,My Neighbor Totoro,https://www.imdb.com//title/tt0096283/,8.1,1988
153,154,Shutter Island,https://www.imdb.com//title/tt1130884/,8.1,2010
154,155,"Lock, Stock and Two Smoking Barrels",https://www.imdb.com//title/tt0120735/,8.1,1998
155,156,No Country for Old Men,https://www.imdb.com//title/tt0477348/,8.1,2007
156,157,Klaus,https://www.imdb.com//title/tt4729430/,8.1,2019
157,158,Dial M for Murder,https://www.imdb.com//title/tt0046912/,8.1,1954
158,159,The Thing,https://www.imdb.com//title/tt0084787/,8.1,1982
159,160,The Gold Rush,https://www.imdb.com//title/tt0015864/,8.1,1925
160,161,"Three Billboards Outside Ebbing, Missouri",https://www.imdb.com//title/tt5027774/,8.1,2017
161,162,The Seventh Seal,https://www.imdb.com//title/tt0050976/,8.1,1957
162,163,The Elephant Man,https://www.imdb.com//title/tt0080678/,8.1,1980
163,164,The Sixth Sense,https://www.imdb.com//title/tt0167404/,8.1,1999
164,165,Dersu Uzala,https://www.imdb.com//title/tt0071411/,8.1,1975
165,166,Jurassic Park,https://www.imdb.com//title/tt0107290/,8.1,1993
166,167,The Truman Show,https://www.imdb.com//title/tt0120382/,8.1,1998
167,168,Wild Strawberries,https://www.imdb.com//title/tt0050986/,8.1,1957
168,169,The Third Man,https://www.imdb.com//title/tt0041959/,8.1,1949
169,170,Memories of Murder,https://www.imdb.com//title/tt0353969/,8.1,2003
170,171,V for Vendetta,https://www.imdb.com//title/tt0434409/,8.1,2005
171,172,Blade Runner,https://www.imdb.com//title/tt0083658/,8.1,1982
172,173,Trainspotting,https://www.imdb.com//title/tt0117951/,8.1,1996
173,174,Fargo,https://www.imdb.com//title/tt0116282/,8.1,1996
174,175,The Bridge on the River Kwai,https://www.imdb.com//title/tt0050212/,8.1,1957
175,176,Inside Out,https://www.imdb.com//title/tt2096673/,8.1,2015
176,177,Finding Nemo,https://www.imdb.com//title/tt0266543/,8.1,2003
177,178,Kill Bill: Vol. 1,https://www.imdb.com//title/tt0266697/,8.1,2003
178,179,Warrior,https://www.imdb.com//title/tt1291584/,8.1,2011
179,180,Gone with the Wind,https://www.imdb.com//title/tt0031381/,8.1,1939
180,181,Tokyo Story,https://www.imdb.com//title/tt0046438/,8.1,1953
181,182,On the Waterfront,https://www.imdb.com//title/tt0047296/,8.1,1954
182,183,My Father and My Son,https://www.imdb.com//title/tt0476735/,8.1,2005
183,184,Prisoners,https://www.imdb.com//title/tt1392214/,8.1,2013
184,185,Wild Tales,https://www.imdb.com//title/tt3011894/,8.1,2014
185,186,Stalker,https://www.imdb.com//title/tt0079944/,8.1,1979
186,187,The Grand Budapest Hotel,https://www.imdb.com//title/tt2278388/,8.1,2014
187,188,The Deer Hunter,https://www.imdb.com//title/tt0077416/,8.1,1978
188,189,The General,https://www.imdb.com//title/tt0017925/,8.1,1926
189,190,Persona,https://www.imdb.com//title/tt0060827/,8.1,1966
190,191,Sherlock Jr.,https://www.imdb.com//title/tt0015324/,8.1,1924
191,192,Gran Torino,https://www.imdb.com//title/tt1205489/,8.1,2008
192,193,Before Sunrise,https://www.imdb.com//title/tt0112471/,8.1,1995
193,194,Mary and Max,https://www.imdb.com//title/tt0978762/,8.1,2009
194,195,Catch Me If You Can,https://www.imdb.com//title/tt0264464/,8.1,2002
195,196,Mr. Smith Goes to Washington,https://www.imdb.com//title/tt0031679/,8.1,1939
196,197,Barry Lyndon,https://www.imdb.com//title/tt0072684/,8.1,1975
197,198,In the Name of the Father,https://www.imdb.com//title/tt0107207/,8.1,1993
198,199,Hacksaw Ridge,https://www.imdb.com//title/tt2119532/,8.1,2016
199,200,Dune,https://www.imdb.com//title/tt1160419/,8.1,2021
200,201,Gone Girl,https://www.imdb.com//title/tt2267998/,8.1,2014
201,202,Z,https://www.imdb.com//title/tt0065234/,8.1,1969
202,203,Room,https://www.imdb.com//title/tt3170832/,8.1,2015
203,204,Andhadhun,https://www.imdb.com//title/tt8108198/,8.1,2018
204,205,The Passion of Joan of Arc,https://www.imdb.com//title/tt0019254/,8.1,1928
205,206,Ford v Ferrari,https://www.imdb.com//title/tt1950186/,8.1,2019
206,207,12 Years a Slave,https://www.imdb.com//title/tt2024544/,8.1,2013
207,208,To Be or Not to Be,https://www.imdb.com//title/tt0035446/,8.1,1942
208,209,The Big Lebowski,https://www.imdb.com//title/tt0118715/,8.1,1998
209,210,Dead Poets Society,https://www.imdb.com//title/tt0097165/,8.1,1989
210,211,Harry Potter and the Deathly Hallows: Part 2,https://www.imdb.com//title/tt1201607/,8.1,2011
211,212,Ben-Hur,https://www.imdb.com//title/tt0052618/,8.1,1959
212,213,How to Train Your Dragon,https://www.imdb.com//title/tt0892769/,8.1,2010
213,214,Mad Max: Fury Road,https://www.imdb.com//title/tt1392190/,8.1,2015
214,215,Autumn Sonata,https://www.imdb.com//title/tt0077711/,8.1,1978
215,216,Million Dollar Baby,https://www.imdb.com//title/tt0405159/,8.1,2004
216,217,The Wages of Fear,https://www.imdb.com//title/tt0046268/,8.1,1953
217,218,Stand by Me,https://www.imdb.com//title/tt0092005/,8.1,1986
218,219,Network,https://www.imdb.com//title/tt0074958/,8.1,1976
219,220,The Handmaiden,https://www.imdb.com//title/tt4016934/,8.1,2016
220,221,Logan,https://www.imdb.com//title/tt3315342/,8.1,2017
221,222,La Haine,https://www.imdb.com//title/tt0113247/,8.1,1995
222,223,Gangs of Wasseypur,https://www.imdb.com//title/tt1954470/,8.1,2012
223,224,A Silent Voice: The Movie,https://www.imdb.com//title/tt5323662/,8.0,2016
224,225,Cool Hand Luke,https://www.imdb.com//title/tt0061512/,8.0,1967
225,226,Hachi: A Dog's Tale,https://www.imdb.com//title/tt1028532/,8.0,2009
226,227,The 400 Blows,https://www.imdb.com//title/tt0053198/,8.0,1959
227,228,Platoon,https://www.imdb.com//title/tt0091763/,8.0,1986
228,229,Spotlight,https://www.imdb.com//title/tt1895587/,8.0,2015
229,230,"Monsters, Inc.",https://www.imdb.com//title/tt0198781/,8.0,2001
230,231,Rebecca,https://www.imdb.com//title/tt0032976/,8.0,1940
231,232,Life of Brian,https://www.imdb.com//title/tt0079470/,8.0,1979
232,233,In the Mood for Love,https://www.imdb.com//title/tt0118694/,8.0,2000
233,234,The Bandit,https://www.imdb.com//title/tt0116231/,8.0,1996
234,235,Hotel Rwanda,https://www.imdb.com//title/tt0395169/,8.0,2004
235,236,Rush,https://www.imdb.com//title/tt1979320/,8.0,2013
236,237,Rocky,https://www.imdb.com//title/tt0075148/,8.0,1976
237,238,Amores perros,https://www.imdb.com//title/tt0245712/,8.0,2000
238,239,Into the Wild,https://www.imdb.com//title/tt0758758/,8.0,2007
239,240,Nausicaä of the Valley of the Wind,https://www.imdb.com//title/tt0087544/,8.0,1984
240,241,Drishyam,https://www.imdb.com//title/tt3417422/,8.0,2013
241,242,Before Sunset,https://www.imdb.com//title/tt0381681/,8.0,2004
242,243,It Happened One Night,https://www.imdb.com//title/tt0025316/,8.0,1934
243,244,Demon Slayer: Mugen Train,https://www.imdb.com//title/tt11032374/,8.0,2020
244,245,Fanny and Alexander,https://www.imdb.com//title/tt0083922/,8.0,1982
245,246,Drishyam 2,https://www.imdb.com//title/tt12361178/,8.0,2021
246,247,The Battle of Algiers,https://www.imdb.com//title/tt0058946/,8.0,1966
247,248,Hera Pheri,https://www.imdb.com//title/tt0242519/,8.0,2000
248,249,Nights of Cabiria,https://www.imdb.com//title/tt0050783/,8.0,1957
249,250,96,https://www.imdb.com//title/tt7019842/,8.0,2018
